"296","Crystal_Palace","Tottenham","7.5","4.5","1.5","0","1"
"297","Man_United","Chelsea","2.29","3.25","3.5","2","1"
"298","Arsenal","Man_City","4.5","4","1.72","0","3"
"299","Burnley","Everton","2.5","3.1","3.29","2","1"
"300","Leicester","Bournemouth","1.85","3.75","4.5","1","1"
"301","Liverpool","Newcastle","1.22","7","15","2","0"
"302","Southampton","Stoke","1.75","3.75","5.25","0","0"
"303","Swansea","West_Ham","2.6","3.25","3","4","1"
"304","Tottenham","Huddersfield","1.19","7.5","17","2","0"
"305","Watford","West_Brom","2.14","3.29","3.89","1","0"
"306","Brighton","Arsenal","4.2","3.79","1.9","2","1"
"307","Man_City","Chelsea","1.61","4.2","6","1","0"
"308","Crystal_Palace","Man_United","7","4","1.57","2","3"
"309","Chelsea","Crystal_Palace","1.3","5.75","12","2","1"
"310","Everton","Brighton","2.2","3.2","3.89","2","0"
"311","Huddersfield","Swansea","2.54","3.1","3.2","0","0"
"312","Man_United","Liverpool","2.75","3.39","2.75","2","1"
"313","Newcastle","Southampton","2.79","3.2","2.79","3","0"
"314","West_Brom","Leicester","3","3.25","2.6","1","4"
"315","West_Ham","Burnley","2.29","3.2","3.6","0","3"
"316","Arsenal","Watford","1.44","5","7.5","3","0"
"317","Bournemouth","Tottenham","6.5","4.5","1.55","1","4"
"318","Stoke","Man_City","15","6.5","1.25","0","2"
"319","Bournemouth","West_Brom","1.83","3.6","5","2","1"
"320","Huddersfield","Crystal_Palace","3","3.1","2.7","0","2"
"321","Liverpool","Watford","1.19","8","15","5","0"
"322","Stoke","Everton","2.5","3.29","3.1","1","2"
"323","Brighton","Leicester","2.7","3.2","2.62","0","2"
"324","Crystal_Palace","Liverpool","7","4.33","1.44","1","2"
"325","Everton","Man_City","9","5","1.33","1","3"
"326","Man_United","Swansea","1.25","6","10","2","0"
"327","Newcastle","Huddersfield","1.75","3.39","5","1","0"
"328","Watford","Bournemouth","2.29","3.29","3.1","2","2"
"329","West_Brom","Burnley","2.5","3","3.1","1","2"
"330","West_Ham","Southampton","2.7","3.25","2.6","3","0"
